district,season,jobType,jobsCompleted,experienceYears,isMultiTalented,seasonalDemandScore
Andheri,Summer,Electrician,62,12,1,14.278853596915768
Andheri,Summer,Plumber,121,12,0,1.4897837076069524
Andheri,Summer,Carpenter,329,2,1,2.3533989748458226
Andheri,Summer,Painter,97,4,0,1.0635653589635672
Andheri,Summer,Appliance Technician,63,9,0,17.010710576206726
Andheri,Summer,House Cleaner,329,7,0,2.432039225844807
Andheri,Summer,Driver,192,13,0,1.8984180925677072
Andheri,Summer,Cook,131,12,1,2.5176147342595345
Andheri,Summer,Mechanic,129,4,1,1.6805010330359837
Andheri,Summer,Masonry,244,2,1,1.2044205530396974
Andheri,Monsoon,Electrician,359,5,0,12.69498873269492
Andheri,Monsoon,Plumber,324,2,1,20.459463573387637
Andheri,Monsoon,Carpenter,200,14,1,1.1576003961569163
Andheri,Monsoon,Painter,85,1,0,2.154704290513524
Andheri,Monsoon,Appliance Technician,90,14,0,2.5461366815773836
Andheri,Monsoon,House Cleaner,244,5,1,2.7329673335105396
Andheri,Monsoon,Driver,236,3,1,2.2713688885288006
Andheri,Monsoon,Cook,393,5,0,1.710541400455043
Andheri,Monsoon,Mechanic,137,9,0,2.2182620113339766
Andheri,Monsoon,Masonry,244,5,0,9.326804987523857
Andheri,Winter,Electrician,78,4,0,2.369228501979749
Andheri,Winter,Plumber,255,5,0,2.610091601542429
Andheri,Winter,Carpenter,340,15,1,1.421965687172653
Andheri,Winter,Painter,305,7,1,1.4252530881082812
Andheri,Winter,Appliance Technician,121,4,1,1.2857431808841253
Andheri,Winter,House Cleaner,269,15,1,2.4940276233045156
Andheri,Winter,Driver,120,9,1,9.723992887427222
Andheri,Winter,Cook,74,14,0,11.181818824347587
Andheri,Winter,Mechanic,131,13,1,1.3056826386965221
Andheri,Winter,Masonry,247,7,1,2.1928180614639476
Andheri,Festival,Electrician,333,14,0,2.0582286901982743
Andheri,Festival,Plumber,108,11,1,2.360566820513037
Andheri,Festival,Carpenter,224,2,1,14.537197465314891
Andheri,Festival,Painter,282,1,1,17.86953050133821
Andheri,Festival,Appliance Technician,141,9,0,2.9437761977402284
Andheri,Festival,House Cleaner,202,14,0,12.741037139673534
Andheri,Festival,Driver,132,9,0,1.3056785370992696
Andheri,Festival,Cook,300,1,0,2.197889168920458
Andheri,Festival,Mechanic,207,4,0,2.858197232529234
Andheri,Festival,Masonry,340,2,0,1.4817431848944662
Panvel,Summer,Electrician,85,13,0,14.463815189689255
Panvel,Summer,Plumber,293,9,0,1.2567829289995256
Panvel,Summer,Carpenter,360,7,0,1.5301132578801182
Panvel,Summer,Painter,152,12,1,2.857826986004354
Panvel,Summer,Appliance Technician,393,11,1,16.79798459999486
Panvel,Summer,House Cleaner,314,8,0,1.8762001678290081
Panvel,Summer,Driver,82,6,0,1.4958112273320159
Panvel,Summer,Cook,167,10,0,2.1766174369144666
Panvel,Summer,Mechanic,373,1,0,1.014381677970187
Panvel,Summer,Masonry,66,14,1,1.134800656220615
Panvel,Monsoon,Electrician,171,5,1,11.141714699777307
Panvel,Monsoon,Plumber,117,12,1,19.428473614740877
Panvel,Monsoon,Carpenter,292,13,1,1.485994484791449
Panvel,Monsoon,Painter,99,11,1,1.3808198287237554
Panvel,Monsoon,Appliance Technician,260,8,0,1.7085951331791076
Panvel,Monsoon,House Cleaner,380,2,0,2.3467290945866033
Panvel,Monsoon,Driver,223,13,0,1.8052425642045375
Panvel,Monsoon,Cook,147,9,1,1.4973126678405713
Panvel,Monsoon,Mechanic,143,5,1,1.280364594189549
Panvel,Monsoon,Masonry,88,8,0,9.499612895764201
Panvel,Winter,Electrician,326,14,0,1.1011766590497625
Panvel,Winter,Plumber,171,3,1,2.9379925145695025
Panvel,Winter,Carpenter,159,14,1,1.971282250901437
Panvel,Winter,Painter,134,7,0,2.8048857310210975
Panvel,Winter,Appliance Technician,185,15,1,2.970617687559452
Panvel,Winter,House Cleaner,334,11,1,1.5704984578938406
Panvel,Winter,Driver,201,4,0,9.309593650548129
Panvel,Winter,Cook,327,1,1,12.158360581632513
Panvel,Winter,Mechanic,349,8,0,1.1143305458149662
Panvel,Winter,Masonry,310,2,0,1.113759159457369
Panvel,Festival,Electrician,84,11,0,1.1370426654075847
Panvel,Festival,Plumber,341,4,0,1.807551102636555
Panvel,Festival,Carpenter,264,11,1,14.238763020664207
Panvel,Festival,Painter,154,11,1,18.869412515472856
Panvel,Festival,Appliance Technician,252,3,1,1.477371905231692
Panvel,Festival,House Cleaner,87,1,1,11.914449145140903
Panvel,Festival,Driver,338,2,0,2.242318510986186
Panvel,Festival,Cook,309,5,0,2.075268808203255
Panvel,Festival,Mechanic,85,15,0,2.866518755987418
Panvel,Festival,Masonry,130,8,1,1.739054177477768
Thane,Summer,Electrician,384,9,0,14.223355531451901
Thane,Summer,Plumber,333,5,0,2.335726407425167
Thane,Summer,Carpenter,118,5,0,2.877860007854208
Thane,Summer,Painter,333,3,1,2.7794254140114183
Thane,Summer,Appliance Technician,157,12,1,16.563512542915788
Thane,Summer,House Cleaner,374,14,1,1.4071946246549059
Thane,Summer,Driver,178,15,0,2.010818116195974
Thane,Summer,Cook,266,14,1,1.1845969354254668
Thane,Summer,Mechanic,220,13,0,1.0881735235981
Thane,Summer,Masonry,184,3,1,2.2742267546027595
Thane,Monsoon,Electrician,268,9,0,12.103360842252783
Thane,Monsoon,Plumber,126,9,0,19.22374776117867
Thane,Monsoon,Carpenter,348,9,0,2.669190039772033
Thane,Monsoon,Painter,71,5,1,1.8595734257615435
Thane,Monsoon,Appliance Technician,70,15,1,2.79796297748518
Thane,Monsoon,House Cleaner,177,11,0,1.420153076679508
Thane,Monsoon,Driver,336,15,1,1.7073572692292367
Thane,Monsoon,Cook,129,15,0,2.947674045274578
Thane,Monsoon,Mechanic,140,15,1,2.729211392439928
Thane,Monsoon,Masonry,220,13,1,9.049572723796377
Thane,Winter,Electrician,177,5,0,2.604470277874278
Thane,Winter,Plumber,105,7,0,2.5747490182709423
Thane,Winter,Carpenter,163,4,1,2.7171865026755633
Thane,Winter,Painter,166,4,0,1.6993168488918373
Thane,Winter,Appliance Technician,254,6,1,2.320066365497258
Thane,Winter,House Cleaner,192,6,1,2.728705884060573
Thane,Winter,Driver,324,6,0,10.359036236720527
Thane,Winter,Cook,183,3,1,11.230683503702855
Thane,Winter,Mechanic,355,7,1,1.0765143947065254
Thane,Winter,Masonry,210,7,0,2.4570901213054084
Thane,Festival,Electrician,345,4,1,1.7703908666894543
Thane,Festival,Plumber,273,1,0,1.0887730674264622
Thane,Festival,Carpenter,85,11,1,13.728442943562529
Thane,Festival,Painter,389,14,0,18.24631081989282
Thane,Festival,Appliance Technician,203,9,1,2.4395085260279004
Thane,Festival,House Cleaner,217,7,1,12.33378580821146
Thane,Festival,Driver,148,7,1,2.1088249553335876
Thane,Festival,Cook,139,10,1,2.354635890545466
Thane,Festival,Mechanic,50,5,1,1.8121503375163257
Thane,Festival,Masonry,346,10,1,1.4203653697652838
Virar,Summer,Electrician,276,11,0,13.929976380494029
Virar,Summer,Plumber,136,11,0,2.0223479937491744
Virar,Summer,Carpenter,389,11,1,1.5675728099860549
Virar,Summer,Painter,170,11,1,1.1867744001511253
Virar,Summer,Appliance Technician,151,3,0,16.449281331994577
Virar,Summer,House Cleaner,293,10,0,1.0924274361855169
Virar,Summer,Driver,372,10,0,1.9108323367601783
Virar,Summer,Cook,246,8,1,2.4366918309979773
Virar,Summer,Mechanic,385,12,0,1.4879688791568777
Virar,Summer,Masonry,104,13,1,2.785319652422733
Virar,Monsoon,Electrician,315,8,0,11.437682273624638
Virar,Monsoon,Plumber,112,8,0,20.11481158806679
Virar,Monsoon,Carpenter,391,9,1,2.602833203444529
Virar,Monsoon,Painter,276,10,1,2.900079216886312
Virar,Monsoon,Appliance Technician,330,8,0,2.66113833944283
Virar,Monsoon,House Cleaner,293,8,1,2.48731088431917
Virar,Monsoon,Driver,376,5,1,2.5035535730010228
Virar,Monsoon,Cook,190,8,0,2.2534968739635626
Virar,Monsoon,Mechanic,170,5,1,2.427089725222113
Virar,Monsoon,Masonry,326,2,0,9.639419136837525
Virar,Winter,Electrician,246,12,0,1.3016613160261732
Virar,Winter,Plumber,82,7,1,2.4128382833891044
Virar,Winter,Carpenter,288,7,0,1.6617627820761671
Virar,Winter,Painter,265,7,0,1.4136687790288205
Virar,Winter,Appliance Technician,344,7,1,2.7134640646078685
Virar,Winter,House Cleaner,230,5,1,1.0117921671679861
Virar,Winter,Driver,264,9,0,10.706895901138209
Virar,Winter,Cook,189,7,1,11.976458955100501
Virar,Winter,Mechanic,222,11,1,1.0580496398934305
Virar,Winter,Masonry,289,15,0,2.4483627552545775
Virar,Festival,Electrician,323,1,1,2.961443955037846
Virar,Festival,Plumber,389,1,0,2.1837855512558217
Virar,Festival,Carpenter,119,14,1,14.28549929601867
Virar,Festival,Painter,183,7,1,17.363458053026864
Virar,Festival,Appliance Technician,217,6,1,1.423320568422963
Virar,Festival,House Cleaner,265,5,0,11.556513231277613
Virar,Festival,Driver,326,1,1,1.9406136724260938
Virar,Festival,Cook,85,13,0,1.4484443314394964
Virar,Festival,Mechanic,176,4,0,2.5084664081190526
Virar,Festival,Masonry,172,3,1,2.2426713131723157
